rca_event_id,start_time,end_time,affected_ports,problem_type,root_cause_candidate,evidence,duration_minutes,severity_score,root_cause_score,confidence
RCA-056,2026-02-01 03:30:00,2026-02-01 03:40:00,"port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-057,2026-02-01 03:30:00,2026-02-01 03:40:00,"port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-059,2026-02-01 03:45:00,2026-02-01 03:55:00,"port-id7427,port-id7428,port-id7429",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-060,2026-02-01 03:45:00,2026-02-01 03:50:00,"port-id7428,port-id7429",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",10,86,100,High
RCA-061,2026-02-01 03:45:00,2026-02-01 03:50:00,"port-id7428,port-id7429",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",10,86,100,High
RCA-062,2026-02-01 03:45:00,2026-02-01 03:50:00,"port-id7428,port-id7429",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",10,86,100,High
RCA-064,2026-02-01 04:00:00,2026-02-01 04:10:00,"port-id7428,port-id7429,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-065,2026-02-01 04:00:00,2026-02-01 04:10:00,"port-id7427,port-id7428,port-id7429,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-066,2026-02-01 04:00:00,2026-02-01 04:10:00,"port-id7429,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,86,100,High
RCA-067,2026-02-01 04:00:00,2026-02-01 04:10:00,"port-id7429,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,86,100,High
RCA-068,2026-02-01 04:15:00,2026-02-01 04:20:00,"port-id7427,port-id7428,port-id7429,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",10,100,100,High
RCA-074,2026-02-01 04:30:00,2026-02-01 04:40:00,"port-id7428,port-id7429,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-075,2026-02-01 04:30:00,2026-02-01 04:40:00,"port-id7427,port-id7429,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-078,2026-02-01 04:45:00,2026-02-01 04:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-079,2026-02-01 04:45:00,2026-02-01 04:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-080,2026-02-01 04:45:00,2026-02-01 04:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-081,2026-02-01 04:45:00,2026-02-01 04:55:00,"port-id7427,port-id7428,port-id7429,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-083,2026-02-01 05:00:00,2026-02-01 05:10:00,"port-id7427,port-id7428,port-id7429,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-084,2026-02-01 05:00:00,2026-02-01 05:10:00,"port-id7427,port-id7428,port-id7429,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-085,2026-02-01 05:00:00,2026-02-01 05:10:00,"port-id7427,port-id7428,port-id7429,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-086,2026-02-01 05:00:00,2026-02-01 05:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-087,2026-02-01 05:15:00,2026-02-01 05:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-088,2026-02-01 05:15:00,2026-02-01 05:25:00,"port-id7427,port-id7428,port-id7430,port-id7431",Queue / buffer pressure,Queue congestion / buffer pressure,"OCTETS high | DISCARDS high | ERRORS normal or not dominant | Check QoS, queue, bandwidth, top talkers, scheduled backup jobs",15,100,100,High
RCA-089,2026-02-01 05:15:00,2026-02-01 05:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-090,2026-02-01 05:15:00,2026-02-01 05:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-091,2026-02-01 05:15:00,2026-02-01 05:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-092,2026-02-01 05:30:00,2026-02-01 05:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-093,2026-02-01 05:30:00,2026-02-01 05:40:00,"port-id7427,port-id7429,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-094,2026-02-01 05:30:00,2026-02-01 05:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-095,2026-02-01 05:30:00,2026-02-01 05:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-096,2026-02-01 05:45:00,2026-02-01 05:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-097,2026-02-01 05:45:00,2026-02-01 05:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-098,2026-02-01 05:45:00,2026-02-01 05:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-099,2026-02-01 05:45:00,2026-02-01 05:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-100,2026-02-01 06:00:00,2026-02-01 06:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-101,2026-02-01 06:00:00,2026-02-01 06:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-102,2026-02-01 06:00:00,2026-02-01 06:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-103,2026-02-01 06:00:00,2026-02-01 06:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-104,2026-02-01 06:15:00,2026-02-01 06:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-105,2026-02-01 06:15:00,2026-02-01 06:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-106,2026-02-01 06:15:00,2026-02-01 06:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-107,2026-02-01 06:15:00,2026-02-01 06:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-109,2026-02-01 06:30:00,2026-02-01 06:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-110,2026-02-01 06:30:00,2026-02-01 06:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-111,2026-02-01 06:30:00,2026-02-01 06:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-112,2026-02-01 06:30:00,2026-02-01 06:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-113,2026-02-01 06:45:00,2026-02-01 06:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-114,2026-02-01 06:45:00,2026-02-01 06:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-115,2026-02-01 06:45:00,2026-02-01 06:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-116,2026-02-01 06:45:00,2026-02-01 06:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-117,2026-02-01 07:00:00,2026-02-01 07:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-118,2026-02-01 07:00:00,2026-02-01 07:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-119,2026-02-01 07:00:00,2026-02-01 07:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-120,2026-02-01 07:00:00,2026-02-01 07:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-122,2026-02-01 07:15:00,2026-02-01 07:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-123,2026-02-01 07:15:00,2026-02-01 07:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-124,2026-02-01 07:15:00,2026-02-01 07:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-125,2026-02-01 07:15:00,2026-02-01 07:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-128,2026-02-01 07:30:00,2026-02-01 07:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-129,2026-02-01 07:30:00,2026-02-01 07:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-130,2026-02-01 07:30:00,2026-02-01 07:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-131,2026-02-01 07:30:00,2026-02-01 07:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-132,2026-02-01 07:45:00,2026-02-01 07:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-133,2026-02-01 07:45:00,2026-02-01 07:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-134,2026-02-01 07:45:00,2026-02-01 07:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-135,2026-02-01 07:45:00,2026-02-01 07:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-137,2026-02-01 08:00:00,2026-02-01 08:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-138,2026-02-01 08:00:00,2026-02-01 08:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-139,2026-02-01 08:00:00,2026-02-01 08:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-140,2026-02-01 08:00:00,2026-02-01 08:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-142,2026-02-01 08:15:00,2026-02-01 08:25:00,"port-id7427,port-id7428,port-id7429,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-143,2026-02-01 08:15:00,2026-02-01 08:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-144,2026-02-01 08:15:00,2026-02-01 08:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-145,2026-02-01 08:15:00,2026-02-01 08:25:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-146,2026-02-01 08:30:00,2026-02-01 08:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-147,2026-02-01 08:30:00,2026-02-01 08:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-148,2026-02-01 08:30:00,2026-02-01 08:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-149,2026-02-01 08:30:00,2026-02-01 08:40:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-151,2026-02-01 08:35:00,2026-02-01 08:40:00,"port-id7429,port-id7430,port-id7431",Link quality issue,Link quality issue,"ERRORS spike or repeated spikes | Traffic may not be high | Check cable, SFP, NIC, port, duplex mismatch",10,100,100,High
RCA-152,2026-02-01 08:45:00,2026-02-01 08:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-153,2026-02-01 08:45:00,2026-02-01 08:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-154,2026-02-01 08:45:00,2026-02-01 08:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-155,2026-02-01 08:45:00,2026-02-01 08:55:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-157,2026-02-01 09:00:00,2026-02-01 09:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-158,2026-02-01 09:00:00,2026-02-01 09:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-159,2026-02-01 09:00:00,2026-02-01 09:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-160,2026-02-01 09:00:00,2026-02-01 09:10:00,"port-id7427,port-id7428,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
