schedule_id,kind,port_id,start_time,end_time,periods_5min,description
Q,market_close_auction,port-id7429,2026-02-02 13:25:00,2026-02-02 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-03 09:00:00,2026-02-03 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-03 13:25:00,2026-02-03 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-04 09:00:00,2026-02-04 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-04 13:25:00,2026-02-04 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-05 09:00:00,2026-02-05 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-05 13:25:00,2026-02-05 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-06 09:00:00,2026-02-06 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-06 13:25:00,2026-02-06 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-09 09:00:00,2026-02-09 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-09 13:25:00,2026-02-09 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-10 09:00:00,2026-02-10 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-10 13:25:00,2026-02-10 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-11 09:00:00,2026-02-11 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-11 13:25:00,2026-02-11 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-12 09:00:00,2026-02-12 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-12 13:25:00,2026-02-12 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-13 09:00:00,2026-02-13 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-13 13:25:00,2026-02-13 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-16 09:00:00,2026-02-16 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-16 13:25:00,2026-02-16 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-17 09:00:00,2026-02-17 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-17 13:25:00,2026-02-17 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-18 09:00:00,2026-02-18 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-18 13:25:00,2026-02-18 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-19 09:00:00,2026-02-19 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-19 13:25:00,2026-02-19 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-20 09:00:00,2026-02-20 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-20 13:25:00,2026-02-20 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-23 09:00:00,2026-02-23 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-23 13:25:00,2026-02-23 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-24 09:00:00,2026-02-24 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-24 13:25:00,2026-02-24 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
W,batch_queue_loading,port-id7429,2026-02-24 18:30:00,2026-02-24 19:55:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
Q,market_open_microburst,port-id7429,2026-02-25 09:00:00,2026-02-25 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-25 13:25:00,2026-02-25 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-26 09:00:00,2026-02-26 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-26 13:25:00,2026-02-26 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-02-27 09:00:00,2026-02-27 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-02-27 13:25:00,2026-02-27 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_open_microburst,port-id7429,2026-03-02 09:00:00,2026-03-02 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
Q,market_close_auction,port-id7429,2026-03-02 13:25:00,2026-03-02 13:35:00,3,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
W,batch_queue_loading,port-id7430,2026-02-01 17:20:00,2026-02-01 18:45:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,desktop_backup,port-id7430,2026-02-01 18:50:00,2026-02-02 03:50:00,109,桌面全量備份 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7430,2026-02-03 17:50:00,2026-02-03 19:15:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,desktop_backup,port-id7430,2026-02-03 19:20:00,2026-02-04 04:20:00,109,桌面增量備份 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7430,2026-02-19 17:35:00,2026-02-19 19:00:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,desktop_backup,port-id7430,2026-02-19 19:05:00,2026-02-20 04:05:00,109,桌面增量備份 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7430,2026-02-21 17:10:00,2026-02-21 18:35:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,desktop_backup,port-id7430,2026-02-21 18:40:00,2026-02-22 03:40:00,109,桌面增量備份 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7430,2026-02-22 17:45:00,2026-02-22 19:10:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,desktop_backup,port-id7430,2026-02-22 19:15:00,2026-02-23 04:15:00,91,桌面全量備份 / 該次把出口推過容量 / 夜間大量傳檔，量隨當日累積工作量變動
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-01 22:00:00,2026-02-02 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-02 22:00:00,2026-02-03 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-03 22:00:00,2026-02-04 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-04 22:00:00,2026-02-05 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-05 22:00:00,2026-02-06 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-06 22:00:00,2026-02-07 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-07 22:00:00,2026-02-08 00:55:00,36,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-08 22:00:00,2026-02-09 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-09 22:00:00,2026-02-10 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-10 22:00:00,2026-02-11 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-11 22:00:00,2026-02-12 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-12 22:00:00,2026-02-13 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-13 22:00:00,2026-02-14 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-14 22:00:00,2026-02-15 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-15 22:00:00,2026-02-16 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-16 22:00:00,2026-02-17 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-17 22:00:00,2026-02-18 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-18 22:00:00,2026-02-19 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-19 22:00:00,2026-02-20 01:30:00,43,日終對帳 / 每日 22:00 起的排程作業 (stable)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-20 22:00:00,2026-02-21 01:35:00,44,日終對帳 / 每日 22:00 起的排程作業 (drift day 1)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-21 22:00:00,2026-02-22 01:45:00,46,日終對帳 / 每日 22:00 起的排程作業 (drift day 2)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-22 22:00:00,2026-02-23 01:50:00,47,日終對帳 / 每日 22:00 起的排程作業 (drift day 3)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-23 22:00:00,2026-02-24 02:00:00,49,日終對帳 / 每日 22:00 起的排程作業 (drift day 4)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-24 22:00:00,2026-02-25 02:10:00,51,日終對帳 / 每日 22:00 起的排程作業 (drift day 5)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-25 22:00:00,2026-02-26 02:15:00,52,日終對帳 / 每日 22:00 起的排程作業 (drift day 6)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-26 22:00:00,2026-02-27 02:25:00,54,日終對帳 / 每日 22:00 起的排程作業 (drift day 7)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-27 22:00:00,2026-02-28 02:30:00,55,日終對帳 / 每日 22:00 起的排程作業 (drift day 8)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-02-28 22:00:00,2026-03-01 02:40:00,57,日終對帳 / 每日 22:00 起的排程作業 (drift day 9)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-03-01 22:00:00,2026-03-02 02:50:00,59,日終對帳 / 每日 22:00 起的排程作業 (drift day 10)
P_BATCH,nightly_reconciliation_batch,port-id7431,2026-03-02 22:00:00,2026-03-02 23:55:00,24,日終對帳 / 每日 22:00 起的排程作業 (drift day 10)
